Date,Actuals
01-07-2018,123739.76
01-08-2018,119569
01-09-2018,110460.71
01-10-2018,135560.57
01-11-2018,120747.7
01-12-2018,125897
01-01-2019,108474.45
01-02-2019,96280.6
01-03-2019,119753.1
01-04-2019,117437.55
01-05-2019,124137.9
01-06-2019,110408.57
01-07-2019,123317.05
01-08-2019,104295.07
01-09-2019,117106.65
01-10-2019,117631.68
01-11-2019,98934.4
01-12-2019,113840.3
01-01-2020,103096.8
01-02-2020,140363.25
01-03-2020,109796.75
01-04-2020,56279.35
01-05-2020,52049.47
01-06-2020,83758.85
01-07-2020,109248.06
01-08-2020,97076.77
01-09-2020,91824.28
01-10-2020,148966.23
01-11-2020,198979.13
01-12-2020,343198.57
01-01-2021,220047.78
01-02-2021,244187.42
01-03-2021,307828.61
01-04-2021,261752.18
01-05-2021,265244.4
01-06-2021,257288.8
01-07-2021,244498.46
01-08-2021,249955.99
01-09-2021,314505.63
01-10-2021,500006.98
01-11-2021,483113.34
01-12-2021,713391.82
01-01-2022,397357.83
01-02-2022,360875.89
01-03-2022,353478.85
01-04-2022,263880.15
01-05-2022,308093.45
01-06-2022,340617.3
